,tanggal_tweet,pengguna,isi_tweet,sentimen
59,2021-05-10 15:43:51,Sancho7UTD_,"RT @Gezz_MUFC: Reds... @MelittaUSA are the ropes, let's make sure they pull out. Give them the @TeamViewer treatment, get their TrustPilot…",positif
60,2021-05-10 15:43:50,christophurious,@Pimp_Lord619 @friarphilSD It puts the lotion in the 3rd place basket!!!,netral
61,2021-05-10 15:43:42,just_hanniee,"RT @Iceprincezamani: Dear @basket_mouth , Pls bring back my ‘Saturday Mornings With Papa Benjy’ I have tolerated waiting enough !!! They sa…",netral
62,2021-05-10 15:43:38,Meadowsstalls,Excited to share this item from my #etsy shop: Luxury Soap  Basket  | Toilet Soap Holder Wall Mounted for Bathroom… https://t.co/SFLIlNwoM3,positif
63,2021-05-10 15:43:37,LecterLuci,"RT @AmalShal27: ❤💜💙💛🐱🐈🐈🐈🧺🧺🧺
A BOX AND A BASKET OF
SWEET LITTLE KITTIENS😃😋😍 https://t.co/qSHNnLZ2u9",positif
64,2021-05-10 15:43:32,Vardhann9999,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
65,2021-05-10 15:43:32,ENDERT0AD,we should have gotten a bisexual character that wasn’t showed in bad light.. they legit made brittany cheater like… https://t.co/YxZrQU172K,negatif
66,2021-05-10 15:43:31,TonyPedroza1,@SNYtv @netw3rk @IanBegley @888sportusa Driving to the basket D Rose ..Corner three give me RJ.. In the paint give… https://t.co/ohXG8pvT1L,positif
67,2021-05-10 15:43:30,pippyhunt,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
68,2021-05-10 15:43:30,mike_mellish,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
69,2021-05-10 15:43:28,CayleighHolms99,RT @BasketsGalore: Today's Gift Basket Of The Day is the 'Travel Birthday Gift' https://t.co/kpQbVXzqPK ✈️Follow &amp; RT to enter #prize draw…,netral
70,2021-05-10 15:43:23,vipulmohan_luck,"RT @vipulmohan_luck: Sadly, no response rec'd from company in 7hrs. This is how they treat issues of the customer. Again vegetables rec'd t…",positif
71,2021-05-10 15:43:19,Sree_nikhil9999,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
72,2021-05-10 15:43:13,wwtla,RT @KINGGRIYAA: @Tunezz7 No my favorite part is “ look I’m tired of playing these games which you bitch I know you got ribs in that basket…,positif
73,2021-05-10 15:43:01,Dobby_Kieran,"RT @Gezz_MUFC: Reds... @MelittaUSA are the ropes, let's make sure they pull out. Give them the @TeamViewer treatment, get their TrustPilot…",positif
74,2021-05-10 15:43:01,SHADOW_PH03NIX,@MammonWantsUBad *she watches him leave and fills the basket with all the things she's made as well as plates blank… https://t.co/T4kmX2wxI4,netral
75,2021-05-10 15:42:59,Tico_Romao,RT @rosiemarie10395: Fred Astaire #botd - his musicianship on display in Follow the Fleet (1936) dir. Mark Sandrich-(included a brief appea…,netral
76,2021-05-10 15:42:57,ImSheero,"RT @zoompxl: ""Basket-ball"" — Premade Logo

Based on the shape of a shield and the lines of a ball here is the perfect fusion of these two e…",positif
77,2021-05-10 15:42:56,nexteann,@wthevr01 basket 🗑️,netral
78,2021-05-10 15:42:47,imthejamu,"RT @PUsif4141: #GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before birthday 🤗…",netral
79,2021-05-10 15:42:39,B33TL3BOY,George already approves of the new and improved nap basket https://t.co/vHXfVlaeIS,positif
80,2021-05-10 15:42:39,Lawwizzy232,"RT @Iceprincezamani: Dear @basket_mouth , Pls bring back my ‘Saturday Mornings With Papa Benjy’ I have tolerated waiting enough !!! They sa…",netral
81,2021-05-10 15:42:30,PUsif4141,"#GetWellSoonNTR

Guri chusi kodite

Banti Basket lo padala 😎😎

Waiting to see u back and recovering soon before bir… https://t.co/Z0V6aGfeWh",netral
82,2021-05-10 15:42:26,gnxsis,RT @DONJAZZY: My bro @basket_mouth is at it again o. The visuals for #Peppersoup  is out now on YouTube featuring heavy weights DuncanMight…,negatif
83,2021-05-10 15:42:22,KORRAxSOKKA,I caught up with fruits basket :(,negatif
84,2021-05-10 15:42:07,TonySta00588625,"@ErhardJess1e Normalization? Wow, you don't get it, do you? Maybe you need to tell the Egyptians to quit scapegoati… https://t.co/SOWgkJYrcz",positif
85,2021-05-10 15:41:34,FormerlyFormer,Basket o’ claymores: https://t.co/RdkMOTjTFE,netral
86,2021-05-10 15:41:26,travisakers,"Mirror / Basket / Things jar: @HomeGoods 

Tree shelf/shoe rack: @Wayfair",netral
87,2021-05-10 15:41:20,KRCsCraftSupply,RT @suzannee43: Large Bento Basket Vintage Antique Wicker Bamboo Lunch #etsy #etsyspecialT #etsyseller #shopsmall #VintageEtsy @SGH_RTs @bl…,positif
88,2021-05-10 15:41:13,PaintedbyCarol,RT @Lizones1: Check out Barbecue Condiment Carrier Backyard Hibachi Organizer Basket Picnics Supply  https://t.co/iCrycCtC0X via @eBay #bar…,netral
89,2021-05-10 15:41:05,enchantedpluto,I’m watching the Fruits Basket episode when Yuki’s brother comes over and OH MY GOD.,netral
90,2021-05-10 15:41:04,smilingbluedog,RT @Lizones1: Check out Barbecue Condiment Carrier Backyard Hibachi Organizer Basket Picnics Supply  https://t.co/iCrycCtC0X via @eBay #bar…,netral
91,2021-05-10 15:41:00,Foot_Basket,Ranking the Top 8 Athletes Who Smoke Marijuana or Use CBD https://t.co/WmALfSvCXL,positif
92,2021-05-10 15:40:40,StarkeyWaterCo,"Want to create the picture-perfect spring #picnic, but not sure where to start? Here are three tips for packing you… https://t.co/04MmXmTZBI",negatif
93,2021-05-10 15:40:24,alexisy95,RT @SylvanasAndVala: Vala plotting in her basket layer. #CatsOfTwitter #cats https://t.co/8CqJGUIKXn,netral
94,2021-05-10 15:40:21,bndthlife,Fruits Basket. 😭,netral
95,2021-05-10 15:40:20,brisha__1,Did he give her a fucking Easter basket 🤣🤣🤣🤣,negatif
96,2021-05-10 15:40:16,Frankie32662236,"RT @Gezz_MUFC: Reds... @MelittaUSA are the ropes, let's make sure they pull out. Give them the @TeamViewer treatment, get their TrustPilot…",positif
97,2021-05-10 15:40:15,UtdSid06,"RT @Gezz_MUFC: Reds... @MelittaUSA are the ropes, let's make sure they pull out. Give them the @TeamViewer treatment, get their TrustPilot…",positif
98,2021-05-10 15:40:00,AlkehCube,"RT @Gezz_MUFC: Reds... @MelittaUSA are the ropes, let's make sure they pull out. Give them the @TeamViewer treatment, get their TrustPilot…",positif
99,2021-05-10 15:40:00,UnitedFan1991,"RT @Gezz_MUFC: Reds... @MelittaUSA are the ropes, let's make sure they pull out. Give them the @TeamViewer treatment, get their TrustPilot…",positif
